c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
3e-007	0	1.36178e-007	1.31928e-007	1.34053e-007	0.000424982	1e-013	0.000140403
3e-007	0	1.32451e-007	1.2824e-007	1.30346e-007	0.000421087	1.25893e-013	0.00013915
3e-007	0	1.27977e-007	1.23815e-007	1.25896e-007	0.000416248	1.58489e-013	0.000137592
3e-007	0	1.22667e-007	1.18565e-007	1.20616e-007	0.000410258	1.99526e-013	0.00013566
3e-007	0	1.16448e-007	1.12419e-007	1.14433e-007	0.000402877	2.51189e-013	0.000133274
3e-007	0	1.09275e-007	1.05337e-007	1.07306e-007	0.000393827	3.16228e-013	0.000130341
3e-007	0	1.01156e-007	9.73279e-008	9.92419e-008	0.000382804	3.98107e-013	0.000126761
3e-007	0	9.21588e-008	8.8464e-008	9.03114e-008	0.000369489	5.01187e-013	0.000122425
3e-007	0	8.24291e-008	7.88935e-008	8.06613e-008	0.000353564	6.30957e-013	0.000117224
3e-007	0	7.21916e-008	6.88441e-008	7.05179e-008	0.00033475	7.94328e-013	0.000111061
3e-007	0	6.17419e-008	5.86134e-008	6.01777e-008	0.000312852	1e-012	0.000103867
3e-007	0	5.1424e-008	4.85458e-008	4.99849e-008	0.000287821	1.25893e-012	9.56216e-005
3e-007	0	4.15906e-008	3.89925e-008	4.02915e-008	0.000259812	1.58489e-012	8.63718e-005
3e-007	0	3.25711e-008	3.02784e-008	3.14247e-008	0.000229268	1.99526e-012	7.62629e-005
3e-007	0	2.46252e-008	2.26557e-008	2.36404e-008	0.000196949	2.51189e-012	6.55463e-005
3e-007	0	1.7915e-008	1.62758e-008	1.70954e-008	0.000163919	3.16228e-012	5.45775e-005
3e-007	0	1.24973e-008	1.11824e-008	1.18399e-008	0.000131495	3.98107e-012	4.37971e-005
3e-007	0	8.32636e-009	7.31547e-009	7.82092e-009	0.000101089	5.01187e-012	3.36789e-005
3e-007	0	5.2742e-009	4.53407e-009	4.90414e-009	7.4013e-005	6.30957e-012	2.46629e-005
3e-007	0	3.1597e-009	2.6471e-009	2.9034e-009	5.12594e-005	7.94328e-012	1.70831e-005
3e-007	0	1.77947e-009	1.44612e-009	1.61279e-009	3.33348e-005	1e-011	1.11104e-005
3e-007	0	9.35596e-010	7.33662e-010	8.34629e-010	2.01934e-005	1.25893e-011	6.73074e-006
3e-007	0	4.55537e-010	3.42601e-010	3.99069e-010	1.12936e-005	1.58489e-011	3.76442e-006
3e-007	0	2.03618e-010	1.45853e-010	1.74736e-010	5.7765e-006	1.99526e-011	1.92548e-006
3e-007	0	8.27567e-011	5.60103e-011	6.93835e-011	2.67464e-006	2.51189e-011	8.91542e-007
3e-007	0	3.02675e-011	1.91796e-011	2.47235e-011	1.1088e-006	3.16228e-011	3.69598e-007
3e-007	0	9.86189e-012	5.79067e-012	7.82628e-012	4.07123e-007	3.98107e-011	1.35708e-007
3e-007	0	2.8375e-012	1.52622e-012	2.18186e-012	1.31128e-007	5.01187e-011	4.37092e-008
3e-007	0	7.17417e-013	3.49123e-013	5.3327e-013	3.68294e-008	6.30957e-011	1.22765e-008
