c0_left	c0_right	c_front	c_back	c_mean	dcdx_mean	p0	dNu
3e-007	0	1.50482e-007	1.46093e-007	1.48288e-007	0.000438894	1e-014	0.000144862
3e-007	0	1.50039e-007	1.45654e-007	1.47846e-007	0.000438486	1.25893e-014	0.000144732
3e-007	0	1.49483e-007	1.45103e-007	1.47293e-007	0.000437972	1.58489e-014	0.000144568
3e-007	0	1.48788e-007	1.44415e-007	1.46601e-007	0.000437327	1.99526e-014	0.000144361
3e-007	0	1.47921e-007	1.43555e-007	1.45738e-007	0.000436516	2.51189e-014	0.000144102
3e-007	0	1.46839e-007	1.42484e-007	1.44662e-007	0.000435498	3.16228e-014	0.000143776
3e-007	0	1.45496e-007	1.41154e-007	1.43325e-007	0.000434221	3.98107e-014	0.000143367
3e-007	0	1.43831e-007	1.39505e-007	1.41668e-007	0.00043262	5.01187e-014	0.000142854
3e-007	0	1.41777e-007	1.37471e-007	1.39624e-007	0.000430616	6.30957e-014	0.000142212
3e-007	0	1.39255e-007	1.34974e-007	1.37115e-007	0.00042811	7.94328e-014	0.000141408
3e-007	0	1.36178e-007	1.31928e-007	1.34053e-007	0.000424982	1e-013	0.000140403
4.75468e-007	0	2.38499e-007	2.31543e-007	2.35021e-007	0.000695603	1e-014	0.000228277
4.75468e-007	0	2.37796e-007	2.30847e-007	2.34321e-007	0.000694956	1.25893e-014	0.000228075
4.75468e-007	0	2.36916e-007	2.29974e-007	2.33445e-007	0.000694142	1.58489e-014	0.000227821
4.75468e-007	0	2.35814e-007	2.28883e-007	2.32349e-007	0.000693119	1.99526e-014	0.000227502
4.75468e-007	0	2.34439e-007	2.27521e-007	2.3098e-007	0.000691834	2.51189e-014	0.000227101
4.75468e-007	0	2.32726e-007	2.25824e-007	2.29275e-007	0.000690221	3.16228e-014	0.000226597
4.75468e-007	0	2.30596e-007	2.23714e-007	2.27155e-007	0.000688197	3.98107e-014	0.000225964
4.75468e-007	0	2.27958e-007	2.21101e-007	2.2453e-007	0.00068566	5.01187e-014	0.00022517
4.75468e-007	0	2.24703e-007	2.17878e-007	2.2129e-007	0.000682484	6.30957e-014	0.000224175
4.75468e-007	0	2.20706e-007	2.13921e-007	2.17313e-007	0.000678512	7.94328e-014	0.000222929
4.75468e-007	0	2.15829e-007	2.09093e-007	2.12461e-007	0.000673554	1e-013	0.000221371
7.53566e-007	0	3.77996e-007	3.66971e-007	3.72484e-007	0.00110246	1e-014	0.000358528
7.53566e-007	0	3.76882e-007	3.65868e-007	3.71375e-007	0.00110143	1.25893e-014	0.00035822
7.53566e-007	0	3.75486e-007	3.64485e-007	3.69986e-007	0.00110014	1.58489e-014	0.000357833
7.53566e-007	0	3.73741e-007	3.62756e-007	3.68248e-007	0.00109852	1.99526e-014	0.000357347
7.53566e-007	0	3.71562e-007	3.60597e-007	3.66079e-007	0.00109648	2.51189e-014	0.000356735
7.53566e-007	0	3.68846e-007	3.57907e-007	3.63376e-007	0.00109393	3.16228e-014	0.000355967
7.53566e-007	0	3.65471e-007	3.54564e-007	3.60017e-007	0.00109072	3.98107e-014	0.000355002
7.53566e-007	0	3.61289e-007	3.50422e-007	3.55856e-007	0.0010867	5.01187e-014	0.00035379
7.53566e-007	0	3.5613e-007	3.45314e-007	3.50722e-007	0.00108166	6.30957e-014	0.00035227
7.53566e-007	0	3.49796e-007	3.39042e-007	3.44419e-007	0.00107537	7.94328e-014	0.000350366
7.53566e-007	0	3.42066e-007	3.31391e-007	3.36728e-007	0.00106751	1e-013	0.000347982
1.19432e-006	0	5.99069e-007	5.81597e-007	5.90333e-007	0.00174724	1e-014	0.000560151
1.19432e-006	0	5.97304e-007	5.79848e-007	5.88576e-007	0.00174561	1.25893e-014	0.000559694
1.19432e-006	0	5.95092e-007	5.77656e-007	5.86374e-007	0.00174357	1.58489e-014	0.000559119
1.19432e-006	0	5.92325e-007	5.74916e-007	5.83621e-007	0.001741	1.99526e-014	0.000558395
1.19432e-006	0	5.88872e-007	5.71494e-007	5.80183e-007	0.00173777	2.51189e-014	0.000557485
1.19432e-006	0	5.84568e-007	5.67231e-007	5.75899e-007	0.00173372	3.16228e-014	0.000556341
1.19432e-006	0	5.79219e-007	5.61932e-007	5.70575e-007	0.00172863	3.98107e-014	0.000554903
1.19432e-006	0	5.72592e-007	5.55369e-007	5.6398e-007	0.00172226	5.01187e-014	0.000553096
1.19432e-006	0	5.64415e-007	5.47272e-007	5.55844e-007	0.00171428	6.30957e-014	0.000550827
1.19432e-006	0	5.54376e-007	5.37333e-007	5.45854e-007	0.00170431	7.94328e-014	0.00054798
1.19432e-006	0	5.42125e-007	5.25207e-007	5.33666e-007	0.00169185	1e-013	0.00054441
1.89287e-006	0	9.49492e-007	9.21799e-007	9.35646e-007	0.00276928	1e-014	0.000868099
1.89287e-006	0	9.46694e-007	9.19027e-007	9.3286e-007	0.0027667	1.25893e-014	0.000867447
1.89287e-006	0	9.43188e-007	9.15553e-007	9.29371e-007	0.00276346	1.58489e-014	0.000866627
1.89287e-006	0	9.38803e-007	9.1121e-007	9.25006e-007	0.00275939	1.99526e-014	0.000865594
1.89287e-006	0	9.33329e-007	9.05787e-007	9.19558e-007	0.00275427	2.51189e-014	0.000864294
1.89287e-006	0	9.26508e-007	8.99029e-007	9.12768e-007	0.00274785	3.16228e-014	0.000862657
1.89287e-006	0	9.1803e-007	8.90632e-007	9.04331e-007	0.00273979	3.98107e-014	0.000860597
1.89287e-006	0	9.07527e-007	8.8023e-007	8.93878e-007	0.00272969	5.01187e-014	0.000858005
1.89287e-006	0	8.94567e-007	8.67397e-007	8.80982e-007	0.00271704	6.30957e-014	0.000854744
1.89287e-006	0	8.78656e-007	8.51643e-007	8.65149e-007	0.00270123	7.94328e-014	0.000850641
1.89287e-006	0	8.59239e-007	8.32424e-007	8.45831e-007	0.0026815	1e-013	0.000845484
3e-006	0	1.50482e-006	1.46093e-006	1.48288e-006	0.00438894	1e-014	0.00132841
3e-006	0	1.50039e-006	1.45654e-006	1.47846e-006	0.00438486	1.25893e-014	0.00132755
3e-006	0	1.49483e-006	1.45103e-006	1.47293e-006	0.00437972	1.58489e-014	0.00132646
3e-006	0	1.48788e-006	1.44415e-006	1.46601e-006	0.00437327	1.99526e-014	0.00132509
3e-006	0	1.47921e-006	1.43555e-006	1.45738e-006	0.00436516	2.51189e-014	0.00132336
3e-006	0	1.46839e-006	1.42484e-006	1.44662e-006	0.00435498	3.16228e-014	0.00132117
3e-006	0	1.45496e-006	1.41154e-006	1.43325e-006	0.00434221	3.98107e-014	0.00131842
3e-006	0	1.43831e-006	1.39505e-006	1.41668e-006	0.0043262	5.01187e-014	0.00131495
3e-006	0	1.41777e-006	1.37471e-006	1.39624e-006	0.00430616	6.30957e-014	0.00131056
3e-006	0	1.39255e-006	1.34974e-006	1.37115e-006	0.0042811	7.94328e-014	0.00130502
3e-006	0	1.36178e-006	1.31928e-006	1.34053e-006	0.00424982	1e-013	0.00129801
4.75468e-006	0	2.38499e-006	2.31543e-006	2.35021e-006	0.00695603	1e-014	0.00199402
4.75468e-006	0	2.37796e-006	2.30847e-006	2.34321e-006	0.00694956	1.25893e-014	0.00199302
4.75468e-006	0	2.36916e-006	2.29974e-006	2.33445e-006	0.00694142	1.58489e-014	0.00199177
4.75468e-006	0	2.35814e-006	2.28883e-006	2.32349e-006	0.00693119	1.99526e-014	0.00199018
4.75468e-006	0	2.34439e-006	2.27521e-006	2.3098e-006	0.00691834	2.51189e-014	0.00198818
4.75468e-006	0	2.32726e-006	2.25824e-006	2.29275e-006	0.00690221	3.16228e-014	0.00198564
4.75468e-006	0	2.30596e-006	2.23714e-006	2.27155e-006	0.00688197	3.98107e-014	0.00198242
4.75468e-006	0	2.27958e-006	2.21101e-006	2.2453e-006	0.0068566	5.01187e-014	0.00197833
4.75468e-006	0	2.24703e-006	2.17878e-006	2.2129e-006	0.00682484	6.30957e-014	0.00197312
4.75468e-006	0	2.20706e-006	2.13921e-006	2.17313e-006	0.00678512	7.94328e-014	0.00196649
4.75468e-006	0	2.15829e-006	2.09093e-006	2.12461e-006	0.00673554	1e-013	0.00195803
7.53566e-006	0	3.77996e-006	3.66971e-006	3.72484e-006	0.0110246	1e-014	0.00290794
7.53566e-006	0	3.76882e-006	3.65868e-006	3.71375e-006	0.0110143	1.25893e-014	0.00290714
7.53566e-006	0	3.75486e-006	3.64485e-006	3.69986e-006	0.0110014	1.58489e-014	0.00290613
7.53566e-006	0	3.73741e-006	3.62756e-006	3.68248e-006	0.0109852	1.99526e-014	0.00290484
7.53566e-006	0	3.71562e-006	3.60597e-006	3.66079e-006	0.0109648	2.51189e-014	0.0029032
7.53566e-006	0	3.68846e-006	3.57907e-006	3.63376e-006	0.0109393	3.16228e-014	0.00290108
7.53566e-006	0	3.65471e-006	3.54564e-006	3.60017e-006	0.0109072	3.98107e-014	0.00289836
7.53566e-006	0	3.61289e-006	3.50422e-006	3.55856e-006	0.010867	5.01187e-014	0.00289484
7.53566e-006	0	3.5613e-006	3.45314e-006	3.50722e-006	0.0108166	6.30957e-014	0.00289027
7.53566e-006	0	3.49796e-006	3.39042e-006	3.44419e-006	0.0107537	7.94328e-014	0.00288429
7.53566e-006	0	3.42066e-006	3.31391e-006	3.36728e-006	0.0106751	1e-013	0.00287643
1.19432e-005	0	5.99069e-006	5.81597e-006	5.90333e-006	0.0174724	1e-014	0.00406636
1.19432e-005	0	5.97304e-006	5.79848e-006	5.88576e-006	0.0174561	1.25893e-014	0.00406656
1.19432e-005	0	5.95092e-006	5.77656e-006	5.86374e-006	0.0174357	1.58489e-014	0.00406679
1.19432e-005	0	5.92325e-006	5.74916e-006	5.83621e-006	0.01741	1.99526e-014	0.00406703
1.19432e-005	0	5.88872e-006	5.71494e-006	5.80183e-006	0.0173777	2.51189e-014	0.0040673
1.19432e-005	0	5.84568e-006	5.67231e-006	5.75899e-006	0.0173372	3.16228e-014	0.00406754
1.19432e-005	0	5.79219e-006	5.61932e-006	5.70575e-006	0.0172863	3.98107e-014	0.00406772
1.19432e-005	0	5.72592e-006	5.55369e-006	5.6398e-006	0.0172226	5.01187e-014	0.00406773
1.19432e-005	0	5.64415e-006	5.47272e-006	5.55844e-006	0.0171428	6.30957e-014	0.00406744
1.19432e-005	0	5.54376e-006	5.37333e-006	5.45854e-006	0.0170431	7.94328e-014	0.00406658
1.19432e-005	0	5.42125e-006	5.25207e-006	5.33666e-006	0.0169185	1e-013	0.00406477
1.89287e-005	0	9.49492e-006	9.21799e-006	9.35646e-006	0.0276928	1e-014	0.00536365
1.89287e-005	0	9.46694e-006	9.19027e-006	9.3286e-006	0.027667	1.25893e-014	0.00536626
1.89287e-005	0	9.43188e-006	9.15553e-006	9.29371e-006	0.0276346	1.58489e-014	0.0053695
1.89287e-005	0	9.38803e-006	9.1121e-006	9.25006e-006	0.0275939	1.99526e-014	0.00537351
1.89287e-005	0	9.33329e-006	9.05787e-006	9.19558e-006	0.0275427	2.51189e-014	0.00537847
1.89287e-005	0	9.26508e-006	8.99029e-006	9.12768e-006	0.0274785	3.16228e-014	0.00538457
1.89287e-005	0	9.1803e-006	8.90632e-006	9.04331e-006	0.0273979	3.98107e-014	0.00539201
1.89287e-005	0	9.07527e-006	8.8023e-006	8.93878e-006	0.0272969	5.01187e-014	0.00540101
1.89287e-005	0	8.94567e-006	8.67397e-006	8.80982e-006	0.0271704	6.30957e-014	0.00541178
1.89287e-005	0	8.78656e-006	8.51643e-006	8.65149e-006	0.0270123	7.94328e-014	0.00542445
1.89287e-005	0	8.59239e-006	8.32424e-006	8.45831e-006	0.026815	1e-013	0.00543905
3e-005	0	1.50482e-005	1.46093e-005	1.48288e-005	0.0438894	1e-014	0.00655206
3e-005	0	1.50039e-005	1.45654e-005	1.47846e-005	0.0438486	1.25893e-014	0.00655887
3e-005	0	1.49483e-005	1.45103e-005	1.47293e-005	0.0437972	1.58489e-014	0.0065674
3e-005	0	1.48788e-005	1.44415e-005	1.46601e-005	0.0437327	1.99526e-014	0.00657805
3e-005	0	1.47921e-005	1.43555e-005	1.45738e-005	0.0436516	2.51189e-014	0.00659132
3e-005	0	1.46839e-005	1.42484e-005	1.44662e-005	0.0435498	3.16228e-014	0.00660782
3e-005	0	1.45496e-005	1.41154e-005	1.43325e-005	0.0434221	3.98107e-014	0.00662825
