c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
0.00024	0	0.000119126	0.000118106	0.000118616	0.101977	1e-014	0.00138515
0.00024	0	0.000118772	0.000117754	0.000118263	0.101882	1.25893e-014	0.00139046
0.00024	0	0.000118329	0.000117312	0.00011782	0.101763	1.58489e-014	0.00139716
0.00024	0	0.000117775	0.000116759	0.000117267	0.101613	1.99526e-014	0.00140561
0.00024	0	0.000117083	0.000116069	0.000116576	0.101425	2.51189e-014	0.00141626
0.00024	0	0.000116221	0.000115209	0.000115715	0.101189	3.16228e-014	0.00142971
0.00024	0	0.00011515	0.000114141	0.000114645	0.100892	3.98107e-014	0.00144669
0.00024	0	0.000113822	0.000112817	0.00011332	0.100521	5.01187e-014	0.00146815
0.00024	0	0.000112185	0.000111184	0.000111684	0.100056	6.30957e-014	0.00149528
0.00024	0	0.000110174	0.000109179	0.000109677	0.099474	7.94328e-014	0.00152963
0.00024	0	0.000107721	0.000106733	0.000107227	0.0987479	1e-013	0.00157317
0.00024	0	0.00010475	0.000103772	0.000104261	0.0978438	1.25893e-013	0.0016284
0.00024	0	0.000101184	0.000100217	0.000100701	0.0967204	1.58489e-013	0.00169859
0.00024	0	9.69527e-005	9.59994e-005	9.64761e-005	0.09533	1.99526e-013	0.00178789
0.00024	0	9.19975e-005	9.10613e-005	9.15294e-005	0.0936163	2.51189e-013	0.00190159
0.00024	0	8.62847e-005	8.53696e-005	8.58271e-005	0.091515	3.16228e-013	0.00204644
0.00024	0	7.982e-005	7.89304e-005	7.93752e-005	0.0889556	3.98107e-013	0.00223082
0.00024	0	7.26595e-005	7.18009e-005	7.22302e-005	0.0858634	5.01187e-013	0.00246478
0.00024	0	6.49205e-005	6.40988e-005	6.45096e-005	0.0821648	6.30957e-013	0.00275971
0.00024	0	5.67835e-005	5.60056e-005	5.63945e-005	0.0777947	7.94328e-013	0.00312685
0.00024	0	4.84858e-005	4.77587e-005	4.81222e-005	0.0727077	1e-012	0.00357406
0.00024	0	4.03026e-005	3.96336e-005	3.99681e-005	0.0668922	1.25893e-012	0.00409927
0.00024	0	3.25158e-005	3.1912e-005	3.22139e-005	0.0603841	1.58489e-012	0.00468036
0.00024	0	2.53878e-005	2.48549e-005	2.51214e-005	0.0532865	1.99526e-012	0.00526149
0.00024	0	1.91241e-005	1.86664e-005	1.88952e-005	0.0457758	2.51189e-012	0.00574425
0.00024	0	1.38514e-005	1.34704e-005	1.36609e-005	0.0380994	3.16228e-012	0.00599601
0.00024	0	9.61125e-006	9.30562e-006	9.45844e-006	0.0305633	3.98107e-012	0.00588908
0.00024	0	6.36296e-006	6.128e-006	6.24548e-006	0.0234961	5.01187e-012	0.00536554
0.00024	0	4.00032e-006	3.82829e-006	3.91431e-006	0.0172025	6.30957e-012	0.00448694
0.00024	0	2.37544e-006	2.25631e-006	2.31588e-006	0.0119137	7.94328e-012	0.00342245
0.00024	0	1.32406e-006	1.24659e-006	1.28532e-006	0.00774732	1e-011	0.00237461
0.00024	0	6.87868e-007	6.4094e-007	6.64404e-007	0.00469281	1.25893e-011	0.00149722
0.00024	0	3.30319e-007	3.04076e-007	3.17198e-007	0.00262429	1.58489e-011	0.000856554
0.00024	0	1.45319e-007	1.31899e-007	1.38609e-007	0.00134209	1.99526e-011	0.000443259
0.00024	0	5.79981e-008	5.17852e-008	5.48917e-008	0.000621291	2.51189e-011	0.000206341
0.00024	0	2.07777e-008	1.82028e-008	1.94903e-008	0.00025749	3.16228e-011	8.57185e-005
0.00024	0	6.61324e-009	5.66817e-009	6.1407e-009	9.45076e-005	3.98107e-011	3.14897e-005
0.00024	0	1.85348e-009	1.54924e-009	1.70136e-009	3.04236e-005	5.01187e-011	1.01401e-005
0.00024	0	4.5518e-010	3.69789e-010	4.12485e-010	8.53914e-006	6.30957e-011	2.8463e-006
