c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
3.0003e-005	2.9997e-005	2.96551e-005	2.9655e-005	2.9655e-005	2.79324e-006	1e-014	2.3547e-007
3.0003e-005	2.9997e-005	2.95668e-005	2.95667e-005	2.95667e-005	2.85217e-006	1.25893e-014	2.41151e-007
3.0003e-005	2.9997e-005	2.94561e-005	2.94561e-005	2.94561e-005	2.92584e-006	1.58489e-014	2.48301e-007
3.0003e-005	2.9997e-005	2.93178e-005	2.93178e-005	2.93178e-005	3.01777e-006	1.99526e-014	2.57299e-007
3.0003e-005	2.9997e-005	2.91451e-005	2.9145e-005	2.9145e-005	3.13221e-006	2.51189e-014	2.68618e-007
3.0003e-005	2.9997e-005	2.89298e-005	2.89298e-005	2.89298e-005	3.27427e-006	3.16228e-014	2.82856e-007
3.0003e-005	2.9997e-005	2.86623e-005	2.86623e-005	2.86623e-005	3.44998e-006	3.98107e-014	3.00759e-007
3.0003e-005	2.9997e-005	2.8331e-005	2.8331e-005	2.8331e-005	3.66632e-006	5.01187e-014	3.23261e-007
3.0003e-005	2.9997e-005	2.79222e-005	2.79221e-005	2.79221e-005	3.9312e-006	6.30957e-014	3.51526e-007
3.0003e-005	2.9997e-005	2.74203e-005	2.74202e-005	2.74202e-005	4.25321e-006	7.94328e-014	3.86997e-007
3.0003e-005	2.9997e-005	2.68079e-005	2.68078e-005	2.68078e-005	4.64118e-006	1e-013	4.31453e-007
3.0003e-005	2.9997e-005	2.60663e-005	2.60663e-005	2.60663e-005	5.10343e-006	1.25893e-013	4.87058e-007
3.0003e-005	2.9997e-005	2.51763e-005	2.51762e-005	2.51763e-005	5.64672e-006	1.58489e-013	5.56433e-007
3.0003e-005	2.9997e-005	2.41201e-005	2.41201e-005	2.41201e-005	6.27406e-006	1.99526e-013	6.42618e-007
3.0003e-005	2.9997e-005	2.28835e-005	2.28834e-005	2.28834e-005	6.98265e-006	2.51189e-013	7.49036e-007
3.0003e-005	2.9997e-005	2.14579e-005	2.14578e-005	2.14579e-005	7.76127e-006	3.16228e-013	8.79326e-007
3.0003e-005	2.9997e-005	1.9845e-005	1.98449e-005	1.98449e-005	8.58683e-006	3.98107e-013	1.03684e-006
3.0003e-005	2.9997e-005	1.80587e-005	1.80586e-005	1.80587e-005	9.42221e-006	5.01187e-013	1.22386e-006
3.0003e-005	2.9997e-005	1.61286e-005	1.61285e-005	1.61285e-005	1.02151e-005	6.30957e-013	1.4402e-006
3.0003e-005	2.9997e-005	1.40998e-005	1.40997e-005	1.40998e-005	1.08994e-005	7.94328e-013	1.68132e-006
3.0003e-005	2.9997e-005	1.20317e-005	1.20316e-005	1.20317e-005	1.14001e-005	1e-012	1.93587e-006
3.0003e-005	2.9997e-005	9.99315e-006	9.99303e-006	9.99309e-006	1.16422e-005	1.25893e-012	2.18368e-006
3.0003e-005	2.9997e-005	8.05455e-006	8.05443e-006	8.05449e-006	1.15625e-005	1.58489e-012	2.3953e-006
3.0003e-005	2.9997e-005	6.28133e-006	6.28122e-006	6.28128e-006	1.11223e-005	1.99526e-012	2.53484e-006
3.0003e-005	2.9997e-005	4.72471e-006	4.7246e-006	4.72465e-006	1.03199e-005	2.51189e-012	2.56757e-006
3.0003e-005	2.9997e-005	3.41601e-006	3.41592e-006	3.41596e-006	9.19657e-006	3.16228e-012	2.47081e-006
3.0003e-005	2.9997e-005	2.36527e-006	2.36519e-006	2.36523e-006	7.83607e-006	3.98107e-012	2.2442e-006
3.0003e-005	2.9997e-005	1.5619e-006	1.56184e-006	1.56187e-006	6.35475e-006	5.01187e-012	1.91379e-006
3.0003e-005	2.9997e-005	9.78979e-007	9.7893e-007	9.78955e-007	4.88326e-006	6.30957e-012	1.5265e-006
3.0003e-005	2.9997e-005	5.79254e-007	5.79218e-007	5.79236e-007	3.54345e-006	7.94328e-012	1.13683e-006
3.0003e-005	2.9997e-005	3.21516e-007	3.21492e-007	3.21504e-007	2.42573e-006	1e-011	7.91521e-007
3.0003e-005	2.9997e-005	1.66209e-007	1.66193e-007	1.66201e-007	1.57362e-006	1.25893e-011	5.18776e-007
3.0003e-005	2.9997e-005	7.93527e-008	7.93429e-008	7.93478e-008	9.80521e-007	1.58489e-011	3.25118e-007
3.0003e-005	2.9997e-005	3.4672e-008	3.4666e-008	3.4669e-008	6.01292e-007	1.99526e-011	1.99968e-007
3.0003e-005	2.9997e-005	1.37254e-008	1.37217e-008	1.37235e-008	3.72515e-007	2.51189e-011	1.24058e-007
3.0003e-005	2.9997e-005	4.86864e-009	4.86629e-009	4.86746e-009	2.34698e-007	3.16228e-011	7.82072e-008
3.0003e-005	2.9997e-005	1.53055e-009	1.52908e-009	1.52982e-009	1.46453e-007	3.98107e-011	4.88127e-008
3.0003e-005	2.9997e-005	4.22101e-010	4.21237e-010	4.21669e-010	8.63814e-008	5.01187e-011	2.8793e-008
3.0003e-005	2.9997e-005	1.01394e-010	1.00933e-010	1.01163e-010	4.60964e-008	6.30957e-011	1.53654e-008
3.0003e-005	2.9997e-005	2.12207e-011	2.10043e-011	2.11125e-011	2.16406e-008	7.94328e-011	7.21354e-009
3.0003e-005	2.9997e-005	3.93178e-012	3.84309e-012	3.88744e-012	8.86878e-009	1e-010	2.95626e-009
3.0003e-005	2.9997e-005	6.74843e-013	6.42545e-013	6.58694e-013	3.22986e-009	1.25893e-010	1.07662e-009
3.0003e-005	2.9997e-005	1.17226e-013	1.06249e-013	1.11738e-013	1.0977e-009	1.58489e-010	3.65901e-010
3.0003e-005	2.9997e-005	2.33187e-014	1.95716e-014	2.14452e-014	3.74715e-010	1.99526e-010	1.24905e-010
3.0003e-005	2.9997e-005	5.83037e-015	4.46096e-015	5.14566e-015	1.36941e-010	2.51189e-010	4.56468e-011
3.0003e-005	2.9997e-005	1.84028e-015	1.29075e-015	1.56551e-015	5.49531e-011	3.16228e-010	1.83177e-011
3.0003e-005	2.9997e-005	7.00071e-016	4.57704e-016	5.78888e-016	2.42367e-011	3.98107e-010	8.0789e-012
3.0003e-005	2.9997e-005	3.0976e-016	1.91915e-016	2.50837e-016	1.17845e-011	5.01187e-010	3.92817e-012
3.0003e-005	2.9997e-005	1.57427e-016	9.35307e-017	1.25479e-016	6.38961e-012	6.30957e-010	2.12987e-012
3.0003e-005	2.9997e-005	9.11246e-017	5.23172e-017	7.17209e-017	3.88074e-012	7.94328e-010	1.29358e-012
3.0003e-005	2.9997e-005	5.88734e-017	3.29412e-017	4.59073e-017	2.59323e-012	1e-009	8.64409e-013
3.00038e-005	2.99962e-005	2.96551e-005	2.9655e-005	2.9655e-005	3.64421e-006	1e-014	3.07206e-007
3.00038e-005	2.99962e-005	2.95668e-005	2.95667e-005	2.95667e-005	3.70234e-006	1.25893e-014	3.13033e-007
3.00038e-005	2.99962e-005	2.94561e-005	2.94561e-005	2.94561e-005	3.77502e-006	1.58489e-014	3.20367e-007
3.00038e-005	2.99962e-005	2.93178e-005	2.93178e-005	2.93178e-005	3.8657e-006	1.99526e-014	3.29594e-007
3.00038e-005	2.99962e-005	2.91451e-005	2.9145e-005	2.9145e-005	3.97856e-006	2.51189e-014	3.41201e-007
3.00038e-005	2.99962e-005	2.89298e-005	2.89298e-005	2.89298e-005	4.11864e-006	3.16228e-014	3.55799e-007
3.00038e-005	2.99962e-005	2.86623e-005	2.86623e-005	2.86623e-005	4.29187e-006	3.98107e-014	3.74153e-007
3.00038e-005	2.99962e-005	2.8331e-005	2.83309e-005	2.8331e-005	4.50511e-006	5.01187e-014	3.97218e-007
3.00038e-005	2.99962e-005	2.79222e-005	2.79221e-005	2.79221e-005	4.7661e-006	6.30957e-014	4.26182e-007
3.00038e-005	2.99962e-005	2.74203e-005	2.74202e-005	2.74202e-005	5.08324e-006	7.94328e-014	4.62521e-007
3.00038e-005	2.99962e-005	2.68079e-005	2.68078e-005	2.68078e-005	5.46514e-006	1e-013	5.08049e-007
3.00038e-005	2.99962e-005	2.60663e-005	2.60663e-005	2.60663e-005	5.91983e-006	1.25893e-013	5.64972e-007
3.00038e-005	2.99962e-005	2.51763e-005	2.51762e-005	2.51763e-005	6.45372e-006	1.58489e-013	6.35956e-007
3.00038e-005	2.99962e-005	2.41201e-005	2.41201e-005	2.41201e-005	7.06943e-006	1.99526e-013	7.24084e-007
3.00038e-005	2.99962e-005	2.28835e-005	2.28834e-005	2.28834e-005	7.7637e-006	2.51189e-013	8.3282e-007
3.00038e-005	2.99962e-005	2.14579e-005	2.14578e-005	2.14579e-005	8.52475e-006	3.16228e-013	9.65827e-007
3.00038e-005	2.99962e-005	1.9845e-005	1.98449e-005	1.98449e-005	9.32893e-006	3.98107e-013	1.12645e-006
3.00038e-005	2.99962e-005	1.80587e-005	1.80586e-005	1.80587e-005	1.01385e-005	5.01187e-013	1.31689e-006
