c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
3e-007	0	1.51652e-007	1.47253e-007	1.49452e-007	0.000439927	1e-011	0.000145192	0.00497757	0.0049354
3e-007	0	1.51507e-007	1.47109e-007	1.49308e-007	0.000439785	1.25893e-011	0.000145147	0.0049728	0.00493064
3e-007	0	1.51325e-007	1.46929e-007	1.49127e-007	0.000439606	1.58489e-011	0.000145089	0.0049668	0.00492466
3e-007	0	1.51096e-007	1.46702e-007	1.48899e-007	0.000439382	1.99526e-011	0.000145017	0.00495926	0.00491715
3e-007	0	1.50808e-007	1.46417e-007	1.48613e-007	0.000439099	2.51189e-011	0.000144927	0.00494981	0.00490772
3e-007	0	1.50448e-007	1.4606e-007	1.48254e-007	0.000438743	3.16228e-011	0.000144813	0.00493795	0.00489589
3e-007	0	1.49996e-007	1.45613e-007	1.47804e-007	0.000438296	3.98107e-011	0.00014467	0.00492308	0.00488106
3e-007	0	1.4943e-007	1.45052e-007	1.47241e-007	0.000437734	5.01187e-011	0.00014449	0.00490447	0.00486251
3e-007	0	1.48723e-007	1.44352e-007	1.46537e-007	0.000437028	6.30957e-011	0.000144263	0.00488121	0.00483931
3e-007	0	1.4784e-007	1.43479e-007	1.4566e-007	0.000436141	7.94328e-011	0.000143979	0.00485219	0.00481037
3e-007	0	1.46742e-007	1.42392e-007	1.44567e-007	0.000435029	1e-010	0.000143622	0.00481605	0.00477434
3e-007	0	1.45378e-007	1.41042e-007	1.4321e-007	0.000433633	1.25893e-010	0.000143174	0.0047712	0.00472962
3e-007	0	1.43691e-007	1.39373e-007	1.41532e-007	0.000431886	1.58489e-010	0.000142613	0.0047157	0.00467428
3e-007	0	1.41614e-007	1.37317e-007	1.39465e-007	0.000429699	1.99526e-010	0.000141911	0.00464733	0.00460612
3e-007	0	1.39068e-007	1.34799e-007	1.36933e-007	0.000426969	2.51189e-010	0.000141033	0.00456358	0.00452262
3e-007	0	1.3597e-007	1.31735e-007	1.33852e-007	0.000423566	3.16228e-010	0.000139937	0.00446163	0.00442099
3e-007	0	1.32229e-007	1.28036e-007	1.30133e-007	0.000419336	3.98107e-010	0.000138574	0.00433852	0.00429828
3e-007	0	1.27756e-007	1.23615e-007	1.25686e-007	0.000414093	5.01187e-010	0.000136882	0.00419129	0.00415153
3e-007	0	1.22469e-007	1.18393e-007	1.20431e-007	0.000407621	6.30957e-010	0.000134789	0.00401724	0.00397809
3e-007	0	1.16305e-007	1.12308e-007	1.14307e-007	0.000399672	7.94328e-010	0.000132215	0.0038143	0.0037759
3e-007	0	1.09235e-007	1.05335e-007	1.07285e-007	0.000389967	1e-009	0.000129064	0.00358148	0.003544
3e-007	0	1.01275e-007	9.74932e-008	9.93843e-008	0.000378208	1.25893e-009	0.000125238	0.00331937	0.003283
3e-007	0	9.25024e-008	8.88615e-008	9.0682e-008	0.000364085	1.58489e-009	0.000120631	0.00303044	0.00299541
3e-007	0	8.30635e-008	7.95903e-008	8.13269e-008	0.000347316	1.99526e-009	0.000115147	0.00271958	0.00268614
3e-007	0	7.31731e-008	6.98963e-008	7.15347e-008	0.000327675	2.51189e-009	0.000108706	0.00239389	0.00236232
